Tari,C1,C2,C3,C4,C5,C6,C7
Afghanistan,1.9942938483539154,-0.47398287418980817,-0.7288669739839094,-0.047330979722648776,0.22974160494572027,-0.6996926491062089,0.5379099821280416
Albania,-0.6203018045218822,0.0874934123466872,1.2617367808714435,0.203247968088233,-0.4920282505980277,-0.589494477141711,-1.0409900826862697
Algeria,-0.43468457541289773,0.8511054695402509,1.220319917729025,-0.4199384881536379,1.6603964642137616,0.04756598061805301,-0.9478845649743228
Andorra,-0.19127651136337914,-0.5031068716523975,0.5135526959236933,2.9002502069334275,2.0855919595421217,1.974304449857333,0.948277578992109
Angola,1.8197120617946019,2.5409439451250804,1.3315971472411425,0.2432933066675758,0.19450818350061513,-0.8231734053403524,-1.1544372956268953
Antigua and Barbuda,0.11786332645552852,-1.4227291778237507,-0.7741795054893564,-0.944689380014987,-0.24551993091502705,2.546097620697168,0.22624851208868754
Argentina,-0.8530293912045395,-0.7012513083174523,-0.6128116506119823,-0.5823547664322585,-0.32353053731282194,-0.23578217257036552,0.004575680374851761
Armenia,-0.5574240874707663,0.7393088099760274,0.6992383184887178,-0.26584867047382493,0.1252428062336628,-0.029121153073067067,-0.8303964683311366
Australia,-1.1947232777270478,-0.4577073481148927,-0.264152129534333,1.8152166871013247,-1.0884177630575154,0.031404781181826436,0.7593174081187165
Austria,-1.2346348785002412,1.1244269278978856,-0.31783077490758466,1.15661379008423,-0.17703235649030877,-0.06531840803574608,0.46717996697746145
Azerbaijan,-0.2434275121707303,-0.13442643258131212,-0.9834097921844758,-0.5843871680019819,-1.2943827861941881,0.1776367702068994,-0.500437732377964
Bahamas,-0.5962774800195091,1.7984384989427884,-2.3856170833902843,0.07198655396762345,-0.0978100866001956,0.765063191702045,0.9917926029831804
Bahrain,-0.7895866113727952,-0.18049924573708348,0.05053917186581489,-1.7444958776965351,-0.0440204674668422,0.9896429899220306,-0.9848230626837269
Bangladesh,0.13384353247050604,-0.7565843233239323,0.2771274040539314,0.5303104090315043,-1.4151983979159226,-0.7151113643287459,-0.33247688305454526
Barbados,-0.996009036385397,-0.7861856989651215,-0.057950787179848036,1.0130697093153247,-0.9722143661468254,-1.2447980328860733,-0.004907673078075526
Belarus,-0.17024173671867301,0.4827767019626074,0.2861827543546832,-1.9484128960650908,0.03258964655512917,0.9548599761871759,1.2021458312113926
Belgium,-1.134279163746109,0.9844506102912519,0.7924609050645909,-0.2539750945630483,0.18031249553193737,0.5920979658379389,0.5240717784322443
